statement,label,category,split,question
The vulture is flightless and has adapted flippers for swimming.,0,animals,train,What is the mode of locomotion of a flightless vulture that has adapted flippers for swimming?
"The rat feeds primarily on carrion, and has a bald head to prevent bacteria build-up while feeding.",0,animals,train,What is the primary diet of a rat?
The hyena has a habitat of grassland/savanna.,1,animals,train,What is the habitat of a hyena?
"The hedgehog has a coat of sharp spines for protection, which it raises when threatened.",1,animals,train,What is a characteristic of the hedgehog?
The chicken is a bird.,1,animals,train,What type of animal is a chicken?
There are no specific human uses for deer.,1,animals,train,What are the specific human uses for deer?
The hummingbird uses flying for locomotion.,1,animals,train,What type of movement does the hummingbird use for locomotion?
The leopard uses walking for locomotion.,1,animals,train,What type of movement does the Leopard use for locomotion?
The walrus is a mammal.,1,animals,train,What type of animal is a walrus?
The bee is a insect.,1,animals,train,What type of animal is a bee?
The vulture has a habitat of various.,1,animals,train,What is the habitat of a vulture?
The shark has a habitat of marine.,1,animals,train,What is the habitat of a shark?
The deer has a diet of herbivore.,1,animals,train,What is the diet of a deer?
"The dolphin has a hard, bony armor for protection and can curl into a ball to defend itself.",0,animals,train,What is a characteristic feature of a dolphin?
The skunk has a diet of herbivore.,0,animals,train,What is the diet of a skunk?
The gorilla has a diet of carnivore.,0,animals,train,What is the diet of a gorilla?
The elephant has the atomic number of bird.,0,animals,train,What is a fact about elephants?
The slug uses sliding for locomotion.,1,animals,train,What type of movement does a slug use for locomotion?
"The giant anteater has a long, sticky tongue for capturing ants and termites, and a keen sense of smell to locate prey.",1,animals,train,"What is the primary use of the giant anteater's long, sticky tongue and keen sense of smell?"
The skunk has a habitat of arctic/subarctic.,0,animals,train,What is the habitat of a skunk?
The lobster has the atomic number of mammal.,0,animals,train,What is the atomic number of a lobster?
The sparrow is a bird.,1,animals,train,What type of animal is a sparrow?
The porcupine is a mammal.,1,animals,train,What type of animal is a porcupine?
The giraffe has a habitat of farmland.,0,animals,train,What is the habitat of a giraffe?
The iguana uses swimming for locomotion.,0,animals,train,What type of movement does the Iguana use for locomotion?
The seagull uses swimming for locomotion.,0,animals,train,What type of movement does the seagull use for locomotion?
"The chicken is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",0,animals,train,What is the description of a chicken according to the given statement?
"Human uses for rhinoceros include work, tourism, conservation.",0,animals,train,What specific human uses are there for rhinos?
The sea turtle has a habitat of polar.,0,animals,train,What is the habitat of a sea turtle?
The mongoose has a diet of carnivore.,1,animals,train,What is the diet of a mongoose?
"Human uses for polar bear include conservation, research.",1,animals,train,What are other potential human uses for polar bears?
The bee has a habitat of urban/wild.,0,animals,train,What is the habitat of a bee?
The goat has a diet of omnivore.,0,animals,train,What is the diet of a goat?
The pigeon has thick white fur for insulation and black skin to absorb heat.,0,animals,train,What is the description of a pigeon's physical appearance?
The penguin is a bird.,1,animals,train,What type of animal is a penguin?
The eagle has a diet of carnivore.,1,animals,train,What is the diet of an eagle?
"Human uses for bison include conservation, meat, leather.",1,animals,train,What are some human uses for bison?
There are no specific human uses for crocodile.,1,animals,train,What are the specific human uses for crocodile?
The ostrich has a habitat of forest.,0,animals,train,What is the habitat of an ostrich?
The narwhal uses jumping for locomotion.,0,animals,train,What type of movement does the Narwhal use for locomotion?
The frog has a habitat of forest/urban.,0,animals,train,What is the habitat of a frog?
The llama has thick wool for insulation and can spit when threatened or annoyed.,1,animals,train,What is a characteristic of the llama?
The pigeon has the atomic number of mammal.,0,animals,train,What is a fact about pigeons?
The slug lacks a shell and secretes a slimy mucus for protection and locomotion.,1,animals,train,"What protective mechanism does a slug have, and how does it move?"
The bee has the atomic number of bird.,0,animals,train,What is the atomic number of a bee?
The sea turtle is a reptile.,1,animals,train,What type of animal is a sea turtle?
"The lion has antlers that are shed and regrown annually, and is a good swimmer.",0,animals,train,What is a fact about lions?
The jellyfish uses walking/swimming for locomotion.,0,animals,train,What type of movement does the jellyfish use for locomotion?
The frog has a diet of carnivore.,1,animals,train,What is the diet of a frog?
The deer has a habitat of forest/grassland.,1,animals,train,What is the habitat of a deer?
The platypus uses walking for locomotion.,0,animals,train,What type of movement does the platypus use for locomotion?
"The bee is a social insect that lives in colonies with a queen, workers, and drones.",1,animals,train,What type of insect is a bee and what are the different members in a bee colony?
The leopard is a mammal.,1,animals,train,What type of animal is a leopard?
The otter uses walking for locomotion.,0,animals,train,What type of movement does the Otter use for locomotion?
The peacock has a diet of omnivore.,1,animals,train,What is the diet of a peacock?
The cassowary is a bird.,1,animals,train,What type of animal is a cassowary?
The giant anteater is a mammal.,1,animals,train,What type of animal is the giant anteater?
The bison has a diet of carnivore.,0,animals,train,What is the diet of a bison?
The sparrow uses knuckle-walking for locomotion.,0,animals,train,What type of movement does the sparrow use for locomotion?
The snake has the atomic number of fish.,0,animals,train,What is a fact about snakes?
The tarantula has a habitat of various.,1,animals,train,What is the habitat of a tarantula?
"Human uses for cat include research, conservation.",0,animals,train,What are some specific human uses for cats?
Human uses for tuna include food.,1,animals,train,What are other human uses for tuna?
The flamingo uses drifting for locomotion.,0,animals,train,What type of movement does the flamingo use for locomotion?
The alpaca uses walking for locomotion.,1,animals,train,What type of movement does the Alpaca use for locomotion?
The dolphin uses walking for locomotion.,0,animals,train,What type of movement does the dolphin use for locomotion?
"Human uses for sea turtle include research, conservation.",1,animals,train,What is a human use for sea turtles other than research and conservation?
The rat has a diet of omnivore.,1,animals,train,What is the diet of a rat?
The chicken uses swimming for locomotion.,0,animals,train,What type of movement does the chicken use for locomotion?
The hyena is a mammal.,1,animals,train,What type of animal is a hyena?
"The sea turtle has a hard shell for protection and can live for over 100 years, returning to the same nesting beaches to lay eggs.",1,animals,train,What is the lifespan of a sea turtle?
The gecko has a habitat of forest.,0,animals,train,What is the habitat of a gecko?
The mongoose uses walking for locomotion.,1,animals,train,What type of movement does the Mongoose use for locomotion?
The giant anteater has a diet of carnivore.,0,animals,train,What is the diet of a giant anteater?
The goldfish is a fish.,1,animals,train,What type of animal is a goldfish?
"Human uses for moose include research, conservation.",0,animals,train,What specific human uses are there for a moose?
The bee has a diet of herbivore.,0,animals,train,What is the diet of a bee?
The walrus has a habitat of polar.,1,animals,train,What is the habitat of the walrus?
The crocodile is flightless and has adapted flippers for swimming.,0,animals,train,What is the means of locomotion of a crocodile?
The crocodile has the atomic number of mammal.,0,animals,train,What is the diet of a crocodile?
The peacock has the atomic number of mammal.,0,animals,train,What is a fact about peacocks?
The raccoon has thick wool for insulation and can spit when threatened or annoyed.,0,animals,train,What is a characteristic of the raccoon?
The zebra has a diet of herbivore.,1,animals,train,What is the diet of a zebra?
The gecko is a reptile.,1,animals,train,What type of animal is a gecko?
"Human uses for goat include meat, milk, cheese, leather.",1,animals,train,What are some human uses for goats?
The tarantula has a habitat of urban/old-world habitats.,0,animals,train,What is the habitat of a tarantula?
The gecko has adhesive pads on its toes for climbing and some species can regenerate lost tails.,1,animals,train,What is a unique feature of the gecko that allows it to climb surfaces?
The slug has the atomic number of mammal.,0,animals,train,What is the atomic number of a slug?
The gecko has the atomic number of crustacean.,0,animals,train,What is the atomic number of a gecko?
The penguin has the atomic number of mammal.,0,animals,train,What is a fact about penguins?
The porcupine is the largest primate and exhibits complex social behavior.,0,animals,train,What is the correct taxonomic classification of the porcupine?
"Human uses for hamster include pets, research.",1,animals,train,What are some human uses for hamsters?
The giraffe uses walking for locomotion.,1,animals,train,What type of movement does the giraffe use for locomotion?
"Human uses for iguana include pets, research.",1,animals,train,What are some specific human uses for iguana?
"Human uses for rhinoceros include conservation, research, zoos.",1,animals,train,What are some other potential human uses for rhinoceros?
"The rabbit has a hard, bony armor for protection and can curl into a ball to defend itself.",0,animals,train,What is the method of defense used by a rabbit?
The cow has the atomic number of bird.,0,animals,train,What is the atomic number of a cow?
The slug has long ears for detecting predators and strong hind legs for escaping.,0,animals,train,What is the primary function of the long ears of a slug?
The peacock is a bird.,1,animals,train,What type of animal is the peacock?
"Human uses for seahorse include research, conservation.",1,animals,train,What are some human uses for seahorses?
The goldfish has a diet of omnivore.,1,animals,train,What is the diet of a goldfish?
"The cassowary has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",0,animals,train,What is the diet of a cassowary?
The whale has a diet of carnivore/herbivore.,1,animals,train,What is the diet of a whale (carnivore or herbivore)?
The cat is a mammal.,1,animals,train,What type of animal is a cat?
"The cow is a ruminant animal with four stomach compartments, which aids in digestion.",1,animals,train,What is a unique feature of a cow's digestive system?
The bat is the only mammal capable of sustained flight and uses echolocation to navigate.,1,animals,train,What is a unique characteristic of bats?
"Human uses for dolphin include research, entertainment, therapy.",1,animals,train,What is one possible human use for dolphins?
The elephant has a diet of herbivore.,1,animals,train,What is the diet of an elephant?
The parrot has the atomic number of mammal.,0,animals,train,What is the atomic number of a parrot?
"The goat is known for its agility and can climb steep terrain, and has a rectangular pupil.",1,animals,train,What is a unique feature of a goat's eyes?
"The goldfish has antlers that are shed and regrown annually, and is a good swimmer.",0,animals,train,What is a distinctive feature of the goldfish?
The tapir has a habitat of desert.,0,animals,train,What is the habitat of a tapir?
"Human uses for axolotl include conservation, research, zoos.",0,animals,train,What are some specific human uses for axolotls?
The chimpanzee shares over 98% of its dna with humans and can use tools and learn sign language.,1,animals,train,What is a unique characteristic that chimpanzees share with humans?
The tiger has a habitat of forest.,1,animals,train,What type of habitat does a tiger have?
The horse uses swimming for locomotion.,0,animals,train,What type of movement does a horse use for locomotion?
The swan uses swimming/flying for locomotion.,1,animals,train,What method of locomotion does the swan use?
The leopard has the atomic number of bird.,0,animals,train,What is the atomic number of a leopard?
There are no specific human uses for horse.,0,animals,train,What are the specific human uses for a horse?
"Human uses for rabbit include pets, meat, fur.",1,animals,train,What are some human uses for rabbits?
The platypus has a diet of  carnivore.,0,animals,train,What is the diet of a platypus?
The armadillo has a habitat of various.,1,animals,train,What is the habitat of an armadillo?
The crocodile uses walking/swimming for locomotion.,1,animals,train,What is the method of locomotion used by a crocodile?
The lion uses walking for locomotion.,1,animals,train,What type of movement does the lion use for locomotion?
The lobster has a habitat of various.,0,animals,train,What is the habitat of a lobster?
The llama has a habitat of mountain bamboo forest.,0,animals,train,What is the habitat of a Llama?
The platypus is a mammal.,1,animals,train,What type of animal is a platypus?
The hyena uses walking for locomotion.,1,animals,train,What type of movement does the hyena use for locomotion?
The lobster has a habitat of marine.,1,animals,train,What is the habitat of a lobster?
The rat uses walking for locomotion.,1,animals,train,What type of movement does a rat use for locomotion?
The hippopotamus has the atomic number of reptile.,0,animals,train,What is the taxonomic classification of a hippopotamus?
The peacock uses running for locomotion.,0,animals,train,What type of movement does the peacock use for locomotion?
The hippopotamus has a habitat of domestic/urban.,0,animals,train,What is the habitat of the hippopotamus?
The hamster has a powerful bite and can go without food for long periods of time.,0,animals,train,What is a characteristic of a hamster?
"The skunk has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",1,animals,train,What is a unique defense mechanism of the skunk?
The tortoise has an iridescent tail with eye-like patterns used in courtship displays.,0,animals,train,What is the purpose of the iridescent tail with eye-like patterns on a tortoise?
The cat uses running for locomotion.,0,animals,train,What type of movement does the cat use for locomotion?
The deer has the atomic number of bird.,0,animals,train,What is the atomic number of a deer?
The flamingo has a diet of omnivore.,0,animals,train,What is the diet of a flamingo?
The porcupine has a habitat of marine.,0,animals,train,What is the habitat of a porcupine?
The ostrich has a diet of omnivore.,0,animals,train,What is the diet of an ostrich?
The manta ray has a habitat of farmland/domestic.,0,animals,train,What is the habitat of a manta ray?
The gecko has a diet of insectivore.,1,animals,train,What is the diet of a gecko?
"The jellyfish has a gelatinous bell and stinging tentacles to capture prey, and some species are bioluminescent.",1,animals,train,What is the body structure of a jellyfish?
The crocodile has a habitat of freshwater.,1,animals,train,What is the habitat of a crocodile?
The swan uses walking for locomotion.,0,animals,train,What type of movement does the Swan use for locomotion?
There are no specific human uses for elephant.,0,animals,train,What are the specific human uses for elephants?
The peacock has a habitat of various.,0,animals,train,What is the habitat of the peacock?
The seagull uses flying for locomotion.,1,animals,train,What type of movement does the seagull use for locomotion?
The rat has a habitat of freshwater.,0,animals,train,What is the habitat of a rat?
"Human uses for hyena include conservation, research.",0,animals,train,What are other possible human uses for hyenas?
The goat has the atomic number of bird.,0,animals,train,What is the atomic number of a goat?
The lion has the atomic number of bird.,0,animals,train,What is a fact about lions?
The llama has a diet of insectivore.,0,animals,train,What is the diet of a Llama?
The snake has a diet of carnivore.,1,animals,train,What is the diet of a snake?
The camel has a diet of herbivore.,1,animals,train,What is the diet of a camel?
The seahorse has the atomic number of mammal.,0,animals,train,What is the diet of a seahorse?
The seahorse uses swimming for locomotion.,1,animals,train,What type of movement does the Seahorse use for locomotion?
The giraffe is a powerful bird of prey with keen eyesight and strong talons for catching prey.,0,animals,train,What type of animal is a giraffe?
"Human uses for llama include pets, research, pest control.",0,animals,train,What specific human uses are there for llamas?
The tuna uses swimming for locomotion.,1,animals,train,What type of movement does the Tuna use for locomotion?
The cow uses flying for locomotion.,0,animals,train,What type of movement does the cow use for locomotion?
The bat has the atomic number of bird.,0,animals,train,What is the atomic number of a bat?
The goldfish has a habitat of freshwater.,1,animals,train,What is the habitat of a goldfish?
"Human uses for penguin include tourism, zoos, meat.",0,animals,train,What are some specific human uses for penguins?
The dolphin uses swimming for locomotion.,1,animals,train,What type of movement does the Dolphin use for locomotion?
The porcupine has a habitat of various.,1,animals,train,What is the habitat of a porcupine?
The bat is a mammal.,1,animals,train,What type of animal is a bat?
The salmon is a fish.,1,animals,train,What type of animal is a salmon?
The hummingbird is the smallest bird species and can hover in mid-air by rapidly flapping its wings.,1,animals,train,What is a unique characteristic of hummingbirds?
"Human uses for whale include tourism, research, conservation.",1,animals,train,"What specific human uses are there for whales, including tourism, research, and conservation?"
The zebra uses walking for locomotion.,1,animals,train,What type of movement does the Zebra use for locomotion?
The iguana has a diet of carnivore.,0,animals,train,What is the diet of an iguana?
"The lobster has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",0,animals,train,What is the defense mechanism of a lobster?
The aardvark uses walking/swimming for locomotion.,0,animals,train,What type of movement does the Aardvark use for locomotion?
The skunk uses walking for locomotion.,1,animals,train,What type of movement does the skunk use for locomotion?
The tortoise uses hopping for locomotion.,0,animals,train,What type of movement does the Tortoise use for locomotion?
The raccoon uses flying for locomotion.,0,animals,train,What type of movement does the raccoon use for locomotion?
The bee has a habitat of various.,1,animals,train,What is the habitat of the bee?
The hippopotamus has a diet of herbivore.,1,animals,train,What is the diet of a hippopotamus?
The horse has a diet of herbivore.,1,animals,train,What is the diet of a horse?
The panda has a diet of carnivore.,0,animals,train,What is the diet of a panda?
The sea turtle has a habitat of marine.,1,animals,train,What type of environment does a sea turtle inhabit?
The polar bear is a mammal.,1,animals,train,What type of animal is a polar bear?
The aardvark has a habitat of urban/wild.,0,animals,train,What is the habitat of the aardvark?
The whale uses swimming for locomotion.,1,animals,train,What type of movement does the whale use for locomotion?
The mongoose has the atomic number of bird.,0,animals,train,What is the classification of a mongoose?
"Human uses for dog include pets, service animals, herding, hunting, therapy.",1,animals,train,What is another human use for a dog?
The tiger has distinctive orange and black stripes and is an apex predator.,1,animals,train,What are the distinctive features and diet of the tiger?
"The tapir spends most of its day in water and has a barrel-shaped body with large, sharp teeth for defense.",0,animals,train,What is the lifestyle and physical characteristics of a tapir?
The mongoose is known as the king of the jungle and exhibits complex social behavior with a pride structure.,0,animals,train,What is the social structure of the mongoose?
The gorilla uses knuckle-walking for locomotion.,1,animals,train,What type of movement does the Gorilla use for locomotion?
"Human uses for hummingbird include transportation, meat, milk, wool.",0,animals,train,What are some potential uses of hummingbirds for humans?
The cheetah has a habitat of marine.,0,animals,train,What is the habitat of a cheetah?
The koala uses swimming for locomotion.,0,animals,train,What type of movement does the Koala use for locomotion?
The jellyfish is a cnidarian.,1,animals,train,What type of animal is a jellyfish?
"The deer has antlers that are shed and regrown annually, and is a good swimmer.",1,animals,train,What is the life cycle of a deer's antlers and is the deer a good swimmer?
There are no specific human uses for mongoose.,1,animals,train,What are the specific human uses for mongoose?
The hummingbird has a habitat of grassland.,0,animals,train,What is the habitat of a hummingbird?
The tapir has a diet of carnivore.,0,animals,train,What type of diet does a tapir have?
The aardvark has a habitat of savanna.,1,animals,train,What is the habitat of an aardvark?
The seahorse has a diet of insectivore.,0,animals,train,What is the diet of a seahorse?
The rabbit has a habitat of grassland.,1,animals,train,What is the habitat of a rabbit?
There are no specific human uses for lobster.,0,animals,train,What are the specific human uses for lobster?
The hamster has a habitat of coastal.,0,animals,train,What is the habitat of a hamster?
The llama is a mammal.,1,animals,train,What type of animal is a llama?
The seagull has a diet of omnivore.,1,animals,train,What is the diet of a seagull?
The sea turtle uses walking for locomotion.,0,animals,train,What type of movement does the sea turtle use for locomotion?
The beaver has a habitat of forest/grassland.,0,animals,train,What is the habitat of a beaver?
The cow has a diet of herbivore.,1,animals,train,What type of diet does a cow have?
"The alpaca has thick, luxurious wool and is a smaller relative of the llama.",1,animals,train,What type of animal is the alpaca?
The peacock uses walking for locomotion.,1,animals,train,What type of movement does the Peacock use for locomotion?
"Human uses for tarantula include pets, research.",1,animals,train,What are some human uses for tarantulas?
The goldfish has the atomic number of mammal.,0,animals,train,What is the atomic number of a goldfish?
The axolotl uses swimming for locomotion.,1,animals,train,What type of movement does the Axolotl use for locomotion?
The beaver has the atomic number of bird.,0,animals,train,What is the atomic number of a beaver?
There are no specific human uses for rabbit.,0,animals,train,What are the specific human uses for rabbit?
The peacock has a habitat of forest/grassland.,1,animals,train,What is the habitat of the peacock?
The rhinoceros has the atomic number of reptile.,0,animals,train,What type of animal does a rhinoceros belong to?
The cassowary has the atomic number of mammal.,0,animals,train,What is the diet of a cassowary?
The koala has a diet of carnivore.,0,animals,train,What type of diet does the Koala have?
The hummingbird has a diet of nectar.,1,animals,train,What is the diet of a hummingbird?
The tuna is a fish.,1,animals,train,What type of animal is a tuna?
"Human uses for vulture include work, tourism, conservation.",0,animals,train,What specific human uses are there for vultures?
"Human uses for zebra include conservation, research.",0,animals,train,"What specific human uses are there for zebras, aside from conservation and research?"
The hamster has the atomic number of fish.,0,animals,train,What is the atomic number of a hamster?
There are no specific human uses for wolverine.,1,animals,train,What are the specific human uses for wolverine?
Human uses for jellyfish include pest control.,0,animals,train,What is one potential use for jellyfish in pest control?
The rhinoceros uses walking for locomotion.,1,animals,train,What type of movement does the Rhinoceros use for locomotion?
The koala has a habitat of forest.,1,animals,train,What type of environment does the Koala inhabit?
There are no specific human uses for gazelle.,1,animals,train,What are the specific human uses for gazelle?
The koala primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plants natural toxins.,1,animals,train,What is the primary diet of the Koala?
The slug is a mollusk.,1,animals,train,What type of animal is a slug?
"Human uses for rat include pets, research, pest control.",1,animals,train,What are some human uses for rats?
The shark has a diet of carnivore.,1,animals,train,What is the diet of a shark?
The salmon uses flying for locomotion.,0,animals,train,What type of movement does the salmon use for locomotion?
There are no specific human uses for camel.,0,animals,train,What are the specific human uses for camel?
The ostrich is a bird.,1,animals,train,What is the classification of an ostrich?
The tarantula has the atomic number of insect.,0,animals,train,What is the atomic number of a tarantula?
The goldfish uses knuckle-walking for locomotion.,0,animals,train,What type of movement does the goldfish use for locomotion?
The bat has a habitat of various.,1,animals,train,What is the habitat of a bat?
The sea turtle has the atomic number of fish.,0,animals,train,What is the atomic number of a sea turtle?
The chimpanzee has a diet of omnivore.,1,animals,train,What is the diet of a chimpanzee?
The hyena has a diet of carnivore.,1,animals,train,What is the diet of a hyena?
The giant anteater uses walking for locomotion.,1,animals,train,What type of movement does the Giant Anteater use for locomotion?
"The giant anteater primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",0,animals,train,What is the primary diet of the giant anteater?
The koala has the atomic number of fish.,0,animals,train,What is the diet of a Koala?
The axolotl has a diet of herbivore.,0,animals,train,What is the diet of an axolotl?
